week_ending,tickets_written, voids  ,tickets_cashed,mobile_taxable_receipts,retail_taxable_receipts,total_taxable_receipts,privilege_tax,admin_share,state_share
43470,4796300,154935,4376920,54089,210356,264445,26445,3967,22478
43477,4860953,138666,4411529,21356,289402,310758,31076,4661,26414
43484,4167883,75981,3572071,122956,396875,519831,51983,7797,44186
43491,3983320,73280,4202907,6185,-299052,-292867,-29287,-4393,-24894
43498,4622730,93425,3585239,81104,862961,944066,94407,14161,80246
43505,4731513,94134,5367534,25537,-755693,-730156,-73016,-10952,-62063
43512,3948434,53754,3958768,73298,-137385,-64087,-6409,-961,-5447
43519,4132014,54404,3856157,75005,146448,221454,22145,3322,18824
43526,3797635,42463,3011294,140722,603157,743879,74388,11158,63230
43533,3129811,46838,2831468,44559,206947,251505,25151,3773,21378
43540,2858410,70218,2565896,,222296,222296,22230,3334,18895
43547,4418971,91090,3554777,,773104,773104,77310,11597,65714
43554,3443807,67494,3025699,,350615,350615,35061,5259,29802
43561,2385379,68355,2123295,,193729,193729,19373,2906,16467
43568,2683561,67621,2432327,-26737,210349,183613,18361,2754,15607
43575,2658480,58199,2392753,-36129,243657,207528,20753,3113,17640
43582,2607302,49943,2587349,,-29989,-29989,-2999,-450,-2549
43589,2296202,38167,1856748,,401287,401287,40129,6019,34109
43596,2210385,30720,2190474,,-10808,-10808,-1081,-162,-919
43603,2176969,44266,1975717,,156986,156986,15699,2355,13344
43610,1984382,31461,1885233,,67688,67688,6769,1015,5754
43617,2036091,22197,1691982,,321912,321912,32191,4829,27363
43624,2296017,55354,1994871,,245793,245793,24579,3687,20892
43631,2227900,51027,2217837,,-40963,-40963,-4096,-614,-3482
43638,1394107,25521,1342222,,26363,26363,2636,395,2241
43645,1510353,20847,1343147,,146359,146359,14636,2195,12441
43652,1724297,38162,1466694,,219441,219441,21945,3291,18652
43659,1110150,19058,1181917,-2739,-88086,-90825,-9083,-1362,-7720
43666,1814954,40600,1467332,,307022,307022,30702,4605,26097
43673,1615122,31947,1333246,,249929,249929,24993,3749,21244
43680,1913525,64946,1826317,,22262,22262,2226,334,1892
43687,2146221,61098,1890579,,194544,194544,19454,2918,16536
43694,2129799,120452,1635205,,374143,374143,37414,5612,31802
43701,1972582,43530,1644424,,284627,284627,28463,4269,24193
43708,3669138,86896,3733879,25035,648974,674009,67401,10110,57291
43715,4164430,126873,4249038,275453,1388791,1664244,166424,24964,141461
43722,4360438,108211,5616087,250626,467188,717814,71781,10767,61014
43729,3968157,102096,5960078,197999,365653,563652,56365,8455,47910
43736,4062959,79530,5622406,309986,500064,810051,81005,12151,68854
43743,3796242,70405,5267605,453953,818987,1272940,127294,19094,108200
43750,4478463,106603,6294572,406581,947614,1354195,135419,20313,115107
43757,3680379,94887,6082278,364190,214308,578497,57850,8677,49172
43764,4341311,82103,6399568,601782,765826,1367608,136761,20514,116247
43771,4165581,63569,9404206,-571570,-844841,-1416411,-141641,-21246,-120395
43778,4088691,88871,7335286,576236,348871,925107,92511,13877,78634
43785,3725337,79621,6849150,277467,499391,776858,77686,11653,66033
43792,4001612,78006,7288782,241933,-173438,68495,6850,1027,5822
43799,4902465,92563,8867019,205044,313553,518596,51860,7779,44081
43806,4178542,64927,7377058,238026,234287,472313,47231,7085,40147
43813,4079227,95238,7025156,431329,-11341,419988,41999,6300,35699
43820,3890961,96733,6337861,149607,552514,702121,70212,10532,59680
43827,4217858,87576,6934870,263787,464705,728492,72849,10927,61922
